GEO (Codes),2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
DEB3,"1,989,471","1,991,497","1,995,752","2,000,852","2,012,517","2,031,780","2,045,138","2,051,027","2,057,952","2,062,567","2,063,123","2,066,524",
Dec-00,"1,001,879","997,855","994,287","990,718","989,035","995,597","996,651","994,187","990,509","986,887","983,991","982,348",
DED2,"1,594,568","1,591,710","1,591,320","1,590,927","1,592,765","1,602,754","1,600,155","1,598,573","1,598,199","1,596,566","1,589,888","1,583,267",
DED4,"1,505,254","1,491,442","1,480,210","1,468,954","1,463,341","1,465,612","1,454,144","1,444,953","1,436,445","1,426,380","1,413,730","1,402,126",
DED5,"966,434","971,030","978,674","986,504","999,168","1,016,485","1,027,484","1,037,782","1,043,293","1,049,025","1,053,323","1,057,609",
DEE0,"2,297,386","2,276,736","2,259,393","2,244,577","2,235,548","2,245,470","2,236,252","2,223,081","2,208,321","2,194,782","2,180,684","2,169,253",
DEF0,"2,800,134","2,802,266","2,806,531","2,815,955","2,830,864","2,858,714","2,881,926","2,889,821","2,896,712","2,903,773","2,910,875","2,922,005",
DEG0,"2,195,344","2,181,603","2,170,460","2,160,840","2,156,759","2,170,714","2,158,128","2,151,205","2,143,145","2,133,378","2,120,237","2,108,863",
EE00,"1,329,660","1,325,217","1,320,174","1,315,819","1,314,870","1,315,944","1,315,635","1,319,133","1,324,820","1,328,976","1,330,068","1,331,796",
IE04,:,"832,082","834,236","833,748","833,830","839,204","848,383","856,252","867,947","877,832","884,580","894,601",
IE05,:,"1,547,097","1,556,247","1,563,179","1,567,206","1,575,504","1,591,718","1,604,865","1,624,381","1,641,057","1,654,261","1,670,658",
IE06,:,"2,210,108","2,219,296","2,240,925","2,276,591","2,311,578","2,344,282","2,369,275","2,411,912","2,445,551","2,467,483","2,494,745",
EL30,"3,992,912","3,963,887","3,912,849","3,863,763","3,822,843","3,781,274","3,773,559","3,756,453","3,742,235","3,738,901","3,736,737","3,806,550",
EL41,"200,831","200,591","199,478","198,581","197,695","196,654","203,700","211,137","221,098","229,516","229,155","195,229",
EL42,"333,983","334,780","334,652","334,802","334,865","334,791","338,383","340,870","344,027","347,512","347,848","327,517",
EL43,"627,144","629,367","630,085","630,889","631,513","631,812","632,674","633,506","634,930","636,504","636,766","623,633",
EL51,"611,573","612,074","610,102","608,214","606,490","604,504","602,799","601,175","599,723","598,613","594,905","560,826",
EL52,"1,925,437","1,922,590","1,912,624","1,903,360","1,893,878","1,883,339","1,880,122","1,875,996","1,873,777","1,872,102","1,858,755","1,790,686",
EL53,"285,899","284,061","281,324","278,706","276,423","273,843","271,488","269,222","267,008","264,670","262,052","253,954",
